title,price,old_price,date,change
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-22 02:11:02,
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-22 02:11:02,
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-22 02:25:57,
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-22 02:25:57,
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-22 03:42:54,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-22 03:42:54,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-22 03:43:49,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-22 03:43:49,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-22 07:47:11,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-22 07:47:11,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-23 03:40:11,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-23 03:40:11,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-23 05:29:50,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-23 05:29:50,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/ 128GB ROM Android 14 - Black","₦ 139,443","₦ 152,100",2026-03-23 13:32:26,no change
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 138,943","₦ 152,100",2026-03-23 13:32:26,no change
